EmployeeNumber,Age,age_band,Gender,MaritalStatus,Department,JobRole,JobLevel,Education_label,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,income_quartile,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,tenure_band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction_label,EnvironmentSatisfaction_label,RelationshipSatisfaction_label,JobInvolvement_label,WorkLifeBalance_label,satisfaction_band,PerformanceRating,Attrition,attrition_flag
1633,39,36 to 45,Female,Single,Research & Development,Manufacturing Director,2,3 Bachelor,Medical,Travel_Frequently,4,No,5042,Q3,13,0,10,9,6 to 10,2,3,8,0,2,3 High,1 Low,4 Very High,3 High,1 Bad,Below average,3,No,0
1635,45,36 to 45,Female,Divorced,Research & Development,Manufacturing Director,2,2 College,Other,Travel_Rarely,2,No,5770,Q3,19,2,10,10,6 to 10,7,3,9,1,3,4 Very High,4 Very High,1 Low,2 Medium,3 Better,Good,3,No,0
1638,38,36 to 45,Female,Married,Research & Development,Manufacturing Director,3,2 College,Medical,Travel_Rarely,2,Yes,7756,Q3,19,1,10,5,3 to 5,4,0,2,3,6,3 High,4 Very High,4 Very High,2 Medium,4 Best,High,3,No,0
1639,35,26 to 35,Male,Married,Sales,Sales Executive,3,3 Bachelor,Medical,Travel_Rarely,10,No,10306,Q4 highest,17,0,15,13,Over 10,12,6,0,9,3,1 Low,4 Very High,3 High,2 Medium,3 Better,Below average,3,Yes,1
1640,37,36 to 45,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,10,No,3936,Q2,11,1,8,8,6 to 10,4,7,7,1,2,2 Medium,2 Medium,1 Low,3 High,1 Bad,Low,3,No,0
1641,40,36 to 45,Female,Single,Research & Development,Manufacturing Director,3,3 Bachelor,Life Sciences,Travel_Rarely,16,Yes,7945,Q3,15,0,18,4,3 to 5,2,3,3,6,2,4 Very High,3 High,4 Very High,3 High,2 Good,Good,3,No,0
1642,44,36 to 45,Male,Married,Human Resources,Human Resources,2,5 Doctor,Human Resources,Travel_Frequently,1,Yes,5743,Q3,11,0,14,10,6 to 10,7,0,2,4,3,4 Very High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
1644,48,46 to 60,Male,Married,Research & Development,Manager,4,5 Doctor,Medical,Travel_Frequently,4,No,15202,Q4 highest,25,1,23,2,1 to 2,2,2,2,2,3,4 Very High,3 High,2 Medium,2 Medium,3 Better,Good,4,No,0
1645,35,26 to 35,Male,Divorced,Sales,Sales Executive,2,2 College,Medical,Travel_Rarely,15,Yes,5440,Q3,14,2,7,2,1 to 2,2,2,2,6,2,4 Very High,1 Low,4 Very High,1 Low,2 Good,Below average,3,Yes,1
1646,24,18 to 25,Female,Single,Research & Development,Research Scientist,1,1 Below College,Technical Degree,Travel_Frequently,2,Yes,3760,Q2,13,0,6,6,6 to 10,3,1,3,1,2,4 Very High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
1647,27,26 to 35,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,8,No,3517,Q2,17,0,5,3,3 to 5,2,0,2,7,0,3 High,2 Medium,1 Low,4 Very High,3 Better,Below average,3,No,0
1648,27,26 to 35,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Frequently,2,No,2580,Q1 lowest,13,0,6,4,3 to 5,2,1,2,2,0,4 Very High,4 Very High,3 High,3 High,2 Good,Good,3,No,0
1649,40,36 to 45,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,7,Yes,2166,Q1 lowest,14,0,10,4,3 to 5,2,0,3,3,3,1 Low,1 Low,2 Medium,3 High,1 Bad,Low,3,Yes,1
1650,29,26 to 35,Male,Single,Sales,Sales Executive,2,3 Bachelor,Medical,Travel_Rarely,10,No,5869,Q3,11,0,8,5,3 to 5,2,1,4,9,2,3 High,3 High,3 High,2 Medium,3 Better,Good,3,No,0
1651,36,36 to 45,Female,Married,Research & Development,Healthcare Representative,3,4 Master,Life Sciences,Travel_Rarely,5,No,8008,Q3,12,2,9,3,3 to 5,2,0,2,4,6,1 Low,2 Medium,3 High,3 High,3 Better,Below average,3,No,0
1653,25,18 to 25,Male,Divorced,Research & Development,Manufacturing Director,2,1 Below College,Life Sciences,Travel_Frequently,2,No,5206,Q3,17,2,7,7,6 to 10,7,0,7,1,6,3 High,4 Very High,3 High,4 Very High,3 Better,Good,3,No,0
1654,39,36 to 45,Male,Married,Research & Development,Manufacturing Director,2,3 Bachelor,Medical,Travel_Rarely,12,No,5295,Q3,21,0,7,5,3 to 5,4,1,0,4,3,2 Medium,4 Very High,3 High,3 High,3 Better,Good,4,No,0
1655,49,46 to 60,Female,Married,Research & Development,Research Director,4,4 Master,Other,Travel_Rarely,22,No,16413,Q4 highest,16,2,27,4,3 to 5,2,1,2,3,2,2 Medium,1 Low,2 Medium,3 High,3 Better,Low,3,No,0
1656,50,46 to 60,Female,Divorced,Research & Development,Research Director,3,5 Doctor,Life Sciences,Travel_Rarely,17,No,13269,Q4 highest,15,3,19,14,Over 10,11,1,11,5,3,1 Low,4 Very High,3 High,2 Medium,3 Better,Below average,3,No,0
1657,20,18 to 25,Female,Single,Sales,Sales Representative,1,3 Bachelor,Medical,Travel_Rarely,2,No,2783,Q1 lowest,19,0,2,2,1 to 2,2,2,2,1,3,3 High,3 High,1 Low,3 High,3 Better,Below average,3,No,0
1658,34,26 to 35,Female,Divorced,Research & Development,Research Scientist,2,3 Bachelor,Life Sciences,Travel_Rarely,3,No,5433,Q3,12,1,11,11,Over 10,8,7,9,1,2,2 Medium,4 Very High,3 High,3 High,3 Better,Good,3,No,0
1659,36,36 to 45,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,7,No,2013,Q1 lowest,11,0,15,4,3 to 5,3,1,3,2,4,2 Medium,1 Low,3 High,3 High,3 Better,Below average,3,No,0
1661,49,46 to 60,Female,Married,Research & Development,Healthcare Representative,4,1 Below College,Life Sciences,Travel_Rarely,6,Yes,13966,Q4 highest,19,1,30,15,Over 10,11,2,12,2,3,3 High,3 High,2 Medium,2 Medium,3 Better,Below average,3,No,0
1662,36,36 to 45,Female,Married,Research & Development,Manufacturing Director,2,4 Master,Medical,Non-Travel,1,No,4374,Q2,15,0,4,3,3 to 5,2,1,2,0,6,3 High,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
1664,36,36 to 45,Male,Divorced,Research & Development,Healthcare Representative,2,2 College,Life Sciences,Travel_Rarely,3,No,6842,Q3,20,1,13,5,3 to 5,4,0,4,6,3,1 Low,4 Very High,1 Low,4 Very High,3 Better,Below average,4,No,0
1665,54,46 to 60,Female,Married,Research & Development,Manager,4,5 Doctor,Medical,Travel_Rarely,22,No,17426,Q4 highest,25,1,36,10,6 to 10,8,4,7,3,6,3 High,2 Medium,3 High,3 High,3 Better,Below average,4,No,0
1666,43,36 to 45,Male,Married,Research & Development,Research Director,4,2 College,Life Sciences,Travel_Rarely,15,No,17603,Q4 highest,24,1,14,14,Over 10,10,6,11,1,3,3 High,3 High,1 Low,2 Medium,3 Better,Below average,4,No,0
1667,35,26 to 35,Male,Single,Sales,Sales Executive,2,4 Master,Other,Travel_Frequently,12,Yes,4581,Q2,24,0,13,11,Over 10,9,6,7,3,2,4 Very High,4 Very High,1 Low,3 High,4 Best,Good,4,Yes,1
1668,38,36 to 45,Male,Married,Research & Development,Research Scientist,2,3 Bachelor,Life Sciences,Travel_Frequently,1,No,4735,Q2,15,2,19,13,Over 10,11,2,9,7,4,4 Very High,4 Very High,4 Very High,3 High,4 Best,High,3,No,0
1669,29,26 to 35,Male,Divorced,Sales,Sales Executive,2,3 Bachelor,Medical,Travel_Rarely,5,Yes,4187,Q2,13,1,10,10,6 to 10,0,0,9,1,3,2 Medium,1 Low,2 Medium,2 Medium,2 Good,Low,3,No,0
1670,33,26 to 35,Male,Divorced,Sales,Sales Executive,2,4 Master,Medical,Travel_Rarely,2,No,5505,Q3,14,2,6,6,6 to 10,2,0,4,1,5,4 Very High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
1671,32,26 to 35,Male,Divorced,Research & Development,Research Scientist,2,3 Bachelor,Medical,Travel_Rarely,2,No,5470,Q3,13,2,10,9,6 to 10,5,1,6,0,4,2 Medium,4 Very High,3 High,3 High,2 Good,Below average,3,No,0
1673,31,26 to 35,Female,Married,Sales,Sales Executive,2,4 Master,Life Sciences,Travel_Rarely,5,No,5476,Q3,11,2,10,10,6 to 10,0,0,2,1,2,4 Very High,1 Low,1 Low,3 High,3 Better,Below average,3,No,0
1674,49,46 to 60,Female,Divorced,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,16,Yes,2587,Q1 lowest,16,1,17,2,1 to 2,2,2,2,4,2,1 Low,4 Very High,2 Medium,3 High,2 Good,Below average,3,No,0
1675,38,36 to 45,Female,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Frequently,2,No,2440,Q1 lowest,22,0,4,4,3 to 5,3,3,3,1,3,2 Medium,4 Very High,2 Medium,2 Medium,3 Better,Below average,4,No,0
1676,47,46 to 60,Female,Divorced,Sales,Manager,4,4 Master,Life Sciences,Travel_Rarely,2,No,15972,Q4 highest,14,3,29,3,3 to 5,2,1,2,6,2,2 Medium,2 Medium,3 High,4 Very High,3 Better,Below average,3,No,0
1677,49,46 to 60,Male,Single,Research & Development,Manager,4,3 Bachelor,Life Sciences,Travel_Rarely,1,No,15379,Q4 highest,14,0,23,8,6 to 10,7,0,0,4,2,3 High,3 High,1 Low,3 High,3 Better,Below average,3,No,0
1678,41,36 to 45,Male,Single,Sales,Sales Executive,3,2 College,Life Sciences,Travel_Rarely,23,Yes,7082,Q3,16,0,21,2,1 to 2,0,0,2,3,2,3 High,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
1680,20,18 to 25,Male,Single,Sales,Sales Representative,1,1 Below College,Life Sciences,Travel_Rarely,9,No,2728,Q1 lowest,11,0,2,2,1 to 2,2,0,2,1,3,1 Low,4 Very High,1 Low,3 High,3 Better,Below average,3,No,0
1681,33,26 to 35,Female,Divorced,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Non-Travel,16,Yes,5368,Q3,25,1,7,6,6 to 10,5,1,2,1,2,4 Very High,3 High,3 High,3 High,3 Better,Good,4,No,0
1682,36,36 to 45,Male,Married,Research & Development,Healthcare Representative,2,4 Master,Life Sciences,Travel_Rarely,26,No,5347,Q3,14,2,10,3,3 to 5,2,0,2,6,2,3 High,1 Low,2 Medium,3 High,2 Good,Low,3,No,0
1683,44,36 to 45,Female,Divorced,Human Resources,Human Resources,1,3 Bachelor,Life Sciences,Travel_Rarely,1,Yes,3195,Q2,18,3,8,2,1 to 2,2,2,2,4,2,4 Very High,3 High,1 Low,3 High,3 Better,Below average,3,No,0
1684,23,18 to 25,Male,Single,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,8,Yes,3989,Q2,11,0,5,5,3 to 5,4,1,2,1,2,3 High,4 Very High,1 Low,2 Medium,3 Better,Below average,3,Yes,1
1687,38,36 to 45,Female,Married,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Rarely,4,No,3306,Q2,19,1,7,0,Under 1 year,0,0,0,7,5,3 High,4 Very High,4 Very High,3 High,2 Good,Good,3,No,0
1689,53,46 to 60,Male,Married,Research & Development,Healthcare Representative,3,4 Master,Medical,Travel_Rarely,24,No,7005,Q3,15,0,11,4,3 to 5,3,1,2,3,2,4 Very High,2 Medium,3 High,4 Very High,3 Better,Good,3,No,0
1691,48,46 to 60,Female,Married,Sales,Sales Representative,1,2 College,Medical,Travel_Frequently,7,Yes,2655,Q1 lowest,11,2,19,9,6 to 10,7,7,7,2,3,3 High,4 Very High,3 High,3 High,3 Better,Good,3,Yes,1
1692,32,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,2,No,1393,Q1 lowest,12,0,1,1,Under 1 year,0,0,0,1,2,2 Medium,4 Very High,1 Low,3 High,3 Better,Below average,3,Yes,1
1693,26,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Non-Travel,7,No,2570,Q1 lowest,20,0,7,7,6 to 10,7,5,7,1,5,4 Very High,4 Very High,3 High,3 High,3 Better,Good,4,No,0
1694,55,46 to 60,Male,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Technical Degree,Travel_Rarely,22,No,3537,Q2,12,1,8,4,3 to 5,2,1,2,5,1,2 Medium,1 Low,4 Very High,2 Medium,3 Better,Below average,3,No,0
1696,34,26 to 35,Male,Married,Research & Development,Laboratory Technician,2,2 College,Medical,Travel_Rarely,5,No,3986,Q2,14,1,15,15,Over 10,10,4,13,1,3,4 Very High,2 Medium,3 High,2 Medium,4 Best,Good,3,No,0
1697,60,46 to 60,Male,Divorced,Research & Development,Healthcare Representative,3,4 Master,Medical,Travel_Rarely,1,No,10883,Q4 highest,20,1,19,1,Under 1 year,0,0,0,3,2,4 Very High,3 High,3 High,1 Low,4 Best,Good,4,No,0
1698,33,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,21,No,2028,Q1 lowest,18,3,14,14,Over 10,11,2,13,1,6,2 Medium,2 Medium,4 Very High,4 Very High,3 Better,Below average,3,No,0
1700,37,36 to 45,Male,Divorced,Sales,Sales Executive,2,4 Master,Medical,Travel_Frequently,1,No,9525,Q4 highest,14,2,6,6,6 to 10,3,1,3,1,2,4 Very High,3 High,3 High,1 Low,2 Good,Good,3,No,0
1701,34,26 to 35,Female,Married,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,19,No,2929,Q2,12,0,10,10,6 to 10,9,8,7,1,3,4 Very High,2 Medium,2 Medium,2 Medium,3 Better,Below average,3,No,0
1702,23,18 to 25,Male,Divorced,Sales,Sales Representative,1,3 Bachelor,Life Sciences,Travel_Rarely,7,Yes,2275,Q1 lowest,21,1,3,3,3 to 5,2,0,2,1,2,4 Very High,3 High,2 Medium,3 High,3 Better,Good,4,Yes,1
1703,44,36 to 45,Female,Married,Research & Development,Healthcare Representative,3,3 Bachelor,Life Sciences,Travel_Rarely,2,Yes,7879,Q3,19,1,9,8,6 to 10,7,6,7,1,2,4 Very High,3 High,2 Medium,4 Very High,3 Better,Good,3,No,0
1704,35,26 to 35,Male,Single,Research & Development,Research Scientist,1,4 Master,Medical,Travel_Frequently,2,Yes,4930,Q3,14,0,6,5,3 to 5,4,1,4,0,2,4 Very High,1 Low,3 High,2 Medium,4 Best,Good,3,No,0
1706,43,36 to 45,Male,Married,Sales,Sales Executive,2,3 Bachelor,Medical,Travel_Rarely,2,Yes,7847,Q3,17,1,10,10,6 to 10,9,8,8,1,3,4 Very High,4 Very High,1 Low,3 High,3 Better,Good,3,No,0
1707,24,18 to 25,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,9,No,4401,Q2,16,1,5,5,3 to 5,3,0,4,1,1,3 High,3 High,4 Very High,4 Very High,3 Better,Good,3,No,0
1708,41,36 to 45,Male,Single,Sales,Sales Executive,3,3 Bachelor,Marketing,Travel_Rarely,6,No,9241,Q4 highest,12,0,10,10,6 to 10,8,8,7,1,3,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
1709,29,26 to 35,Female,Married,Research & Development,Laboratory Technician,1,4 Master,Medical,Travel_Rarely,9,No,2974,Q2,17,1,9,5,3 to 5,3,1,2,9,2,3 High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
1710,36,36 to 45,Female,Single,Sales,Sales Representative,2,4 Master,Life Sciences,Travel_Rarely,2,No,4502,Q2,15,0,17,13,Over 10,7,6,7,3,2,4 Very High,3 High,3 High,3 High,2 Good,Good,3,No,0
1712,45,36 to 45,Male,Married,Research & Development,Healthcare Representative,3,1 Below College,Life Sciences,Non-Travel,1,No,10748,Q4 highest,23,1,25,23,Over 10,15,14,4,3,3,3 High,3 High,4 Very High,2 Medium,2 Good,Good,4,No,0
1714,24,18 to 25,Male,Married,Human Resources,Human Resources,1,1 Below College,Human Resources,Travel_Rarely,22,No,1555,Q1 lowest,11,1,1,1,Under 1 year,0,0,0,1,2,3 High,4 Very High,3 High,1 Low,3 Better,Good,3,Yes,1
1716,47,46 to 60,Male,Married,Sales,Sales Executive,4,3 Bachelor,Life Sciences,Travel_Frequently,9,No,12936,Q4 highest,11,0,25,23,Over 10,5,14,10,7,3,3 High,3 High,3 High,1 Low,1 Bad,Below average,3,Yes,1
1718,26,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Medical,Travel_Rarely,17,No,2305,Q1 lowest,15,3,3,3,3 to 5,2,0,2,1,3,3 High,4 Very High,3 High,1 Low,4 Best,Good,3,No,0
1719,45,36 to 45,Female,Single,Research & Development,Research Director,4,2 College,Technical Degree,Travel_Rarely,28,No,16704,Q4 highest,11,0,21,21,Over 10,6,8,6,1,2,2 Medium,4 Very High,3 High,2 Medium,3 Better,Good,3,No,0
1720,32,26 to 35,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Frequently,10,No,3433,Q2,13,1,10,5,3 to 5,2,1,3,6,3,3 High,1 Low,1 Low,3 High,2 Good,Low,3,No,0
1721,31,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,2,No,3477,Q2,14,1,6,5,3 to 5,2,0,3,1,2,3 High,2 Medium,4 Very High,3 High,4 Best,Good,3,No,0
1722,41,36 to 45,Male,Married,Human Resources,Human Resources,2,3 Bachelor,Human Resources,Non-Travel,4,No,6430,Q3,19,1,10,3,3 to 5,2,1,2,6,4,2 Medium,3 High,2 Medium,1 Low,3 Better,Below average,3,No,0
1724,40,36 to 45,Female,Married,Research & Development,Manufacturing Director,2,2 College,Life Sciences,Travel_Rarely,8,Yes,6516,Q3,16,1,18,1,Under 1 year,0,0,0,2,3,1 Low,2 Medium,2 Medium,3 High,3 Better,Low,3,No,0
1725,24,18 to 25,Male,Divorced,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,29,No,3907,Q2,13,3,6,6,6 to 10,2,1,2,1,2,1 Low,2 Medium,2 Medium,3 High,4 Best,Below average,3,No,0
1727,46,46 to 60,Male,Single,Research & Development,Healthcare Representative,2,4 Master,Life Sciences,Travel_Rarely,13,No,5562,Q3,14,0,19,10,6 to 10,7,0,9,6,3,2 Medium,3 High,4 Very High,3 High,3 Better,Good,3,No,0
1728,35,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Travel_Rarely,27,No,6883,Q3,16,1,17,7,6 to 10,7,0,7,2,3,3 High,4 Very High,2 Medium,3 High,3 Better,Good,3,No,0
1729,30,26 to 35,Male,Married,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Rarely,16,No,2862,Q1 lowest,12,1,10,10,6 to 10,0,0,8,1,2,4 Very High,2 Medium,2 Medium,3 High,2 Good,Below average,3,No,0
1731,47,46 to 60,Male,Married,Sales,Sales Executive,2,4 Master,Marketing,Non-Travel,2,No,4978,Q3,11,1,4,1,Under 1 year,0,0,0,7,3,2 Medium,3 High,4 Very High,3 High,1 Bad,Below average,3,No,0
1732,46,46 to 60,Male,Divorced,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Rarely,2,Yes,10368,Q4 highest,12,1,13,10,6 to 10,6,0,3,4,5,4 Very High,3 High,2 Medium,3 High,2 Good,Below average,3,No,0
1733,36,36 to 45,Male,Divorced,Sales,Sales Executive,2,5 Doctor,Marketing,Travel_Rarely,13,Yes,6134,Q3,13,3,16,2,1 to 2,2,2,2,5,3,1 Low,2 Medium,2 Medium,2 Medium,3 Better,Low,3,Yes,1
1734,32,26 to 35,Male,Single,Sales,Sales Executive,2,2 College,Life Sciences,Travel_Rarely,1,No,6735,Q3,15,0,10,0,Under 1 year,0,0,0,6,2,2 Medium,1 Low,2 Medium,1 Low,3 Better,Low,3,Yes,1
1735,23,18 to 25,Female,Single,Research & Development,Laboratory Technician,1,1 Below College,Medical,Travel_Rarely,4,No,3295,Q2,13,0,3,3,3 to 5,2,1,2,1,3,2 Medium,3 High,3 High,3 High,1 Bad,Below average,3,No,0
1736,31,26 to 35,Female,Single,Research & Development,Manufacturing Director,2,1 Below College,Technical Degree,Travel_Frequently,24,No,5238,Q3,20,0,9,5,3 to 5,4,1,4,2,3,4 Very High,4 Very High,4 Very High,3 High,2 Good,Good,4,No,0
1737,39,36 to 45,Male,Married,Research & Development,Laboratory Technician,2,3 Bachelor,Life Sciences,Non-Travel,1,Yes,6472,Q3,15,1,9,9,6 to 10,8,5,8,1,2,4 Very High,4 Very High,4 Very High,3 High,3 Better,High,3,No,0
1739,32,26 to 35,Male,Married,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Rarely,19,No,9610,Q4 highest,13,1,10,4,3 to 5,3,0,2,3,2,3 High,4 Very High,3 High,1 Low,1 Bad,Below average,3,No,0
1740,40,36 to 45,Male,Single,Sales,Manager,5,4 Master,Medical,Travel_Rarely,7,No,19833,Q4 highest,14,0,21,21,Over 10,8,12,8,1,3,2 Medium,2 Medium,2 Medium,3 High,2 Good,Low,3,No,0
1744,45,36 to 45,Female,Married,Human Resources,Human Resources,3,3 Bachelor,Life Sciences,Travel_Rarely,4,No,9756,Q4 highest,21,2,9,5,3 to 5,0,0,3,4,2,3 High,3 High,3 High,1 Low,4 Best,Good,4,No,0
1745,30,26 to 35,Female,Single,Research & Development,Research Scientist,1,4 Master,Technical Degree,Travel_Frequently,2,No,4968,Q3,16,0,10,9,6 to 10,7,0,7,0,2,1 Low,4 Very High,4 Very High,2 Medium,3 Better,Good,3,No,0
1746,24,18 to 25,Male,Married,Human Resources,Human Resources,1,3 Bachelor,Medical,Travel_Frequently,10,No,2145,Q1 lowest,14,1,3,2,1 to 2,2,2,1,0,2,4 Very High,1 Low,4 Very High,3 High,3 Better,Good,3,No,0
1747,30,26 to 35,Female,Divorced,Human Resources,Human Resources,1,3 Bachelor,Human Resources,Travel_Frequently,8,No,2180,Q1 lowest,11,1,6,4,3 to 5,2,1,2,6,0,4 Very High,3 High,3 High,2 Medium,2 Good,Good,3,Yes,1
1749,31,26 to 35,Male,Married,Sales,Sales Executive,2,3 Bachelor,Technical Degree,Travel_Rarely,5,No,8346,Q3,19,1,6,5,3 to 5,2,0,2,1,3,3 High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
1751,27,26 to 35,Female,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,8,No,3445,Q2,11,0,6,6,6 to 10,2,1,4,1,5,4 Very High,3 High,3 High,3 High,2 Good,Good,3,No,0
1752,29,26 to 35,Female,Single,Sales,Sales Representative,1,3 Bachelor,Marketing,Travel_Rarely,9,No,2760,Q1 lowest,13,0,2,2,1 to 2,2,2,2,1,3,2 Medium,2 Medium,3 High,1 Low,3 Better,Below average,3,Yes,1
1753,29,26 to 35,Male,Single,Research & Development,Healthcare Representative,2,3 Bachelor,Life Sciences,Travel_Frequently,1,Yes,6294,Q3,12,0,10,3,3 to 5,2,0,2,8,5,3 High,4 Very High,4 Very High,4 Very High,4 Best,High,3,No,0
1754,30,26 to 35,Male,Divorced,Sales,Sales Executive,3,2 College,Marketing,Travel_Rarely,15,No,7140,Q3,11,1,12,7,6 to 10,7,1,7,2,2,1 Low,3 High,1 Low,2 Medium,3 Better,Low,3,No,0
1755,34,26 to 35,Male,Married,Research & Development,Research Scientist,1,4 Master,Medical,Travel_Rarely,2,Yes,2932,Q2,14,3,6,5,3 to 5,0,1,2,0,3,4 Very High,4 Very High,1 Low,4 Very High,3 Better,Good,3,No,0
1756,33,26 to 35,Female,Single,Sales,Sales Executive,2,3 Bachelor,Marketing,Non-Travel,2,No,5147,Q3,15,0,13,11,Over 10,7,1,7,8,2,2 Medium,4 Very High,4 Very High,3 High,2 Good,Good,3,No,0
1757,49,46 to 60,Female,Single,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,11,No,4507,Q2,12,0,8,5,3 to 5,1,0,4,3,1,4 Very High,4 Very High,3 High,3 High,4 Best,High,3,No,0
1758,33,26 to 35,Female,Single,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Rarely,16,Yes,8564,Q4 highest,20,0,11,0,Under 1 year,0,0,0,2,2,1 Low,1 Low,3 High,3 High,2 Good,Low,4,Yes,1
1760,38,36 to 45,Female,Married,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Frequently,2,No,2468,Q1 lowest,14,1,9,6,6 to 10,1,0,5,4,4,2 Medium,3 High,2 Medium,2 Medium,2 Good,Below average,3,No,0
1761,31,26 to 35,Male,Married,Sales,Sales Executive,3,4 Master,Marketing,Travel_Rarely,16,No,8161,Q3,13,3,10,1,Under 1 year,0,0,0,2,2,3 High,1 Low,1 Low,3 High,3 Better,Low,3,Yes,1
1762,29,26 to 35,Female,Divorced,Research & Development,Research Scientist,1,3 Bachelor,Technical Degree,Travel_Rarely,4,No,2109,Q1 lowest,13,1,1,1,Under 1 year,0,0,0,1,2,1 Low,4 Very High,3 High,2 Medium,3 Better,Below average,3,No,0
1763,30,26 to 35,Male,Married,Research & Development,Healthcare Representative,2,3 Bachelor,Life Sciences,Travel_Rarely,16,No,5294,Q3,16,1,10,7,6 to 10,0,1,7,3,3,3 High,3 High,3 High,4 Very High,3 Better,Good,3,No,0
1764,32,26 to 35,Male,Single,Research & Development,Research Scientist,1,4 Master,Technical Degree,Non-Travel,5,No,2718,Q1 lowest,14,0,12,7,6 to 10,7,0,7,2,3,2 Medium,2 Medium,2 Medium,3 High,3 Better,Below average,3,No,0
1766,38,36 to 45,Male,Married,Research & Development,Healthcare Representative,2,3 Bachelor,Medical,Travel_Rarely,18,Yes,5811,Q3,16,1,15,1,Under 1 year,0,1,0,3,2,4 Very High,2 Medium,3 High,1 Low,3 Better,Good,3,No,0
1767,43,36 to 45,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Technical Degree,Travel_Frequently,17,Yes,2437,Q1 lowest,16,1,6,1,Under 1 year,0,0,0,9,4,3 High,3 High,4 Very High,2 Medium,3 Better,Good,3,Yes,1
1768,42,36 to 45,Male,Divorced,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,12,No,2766,Q1 lowest,22,3,7,5,3 to 5,3,0,4,8,6,2 Medium,2 Medium,2 Medium,3 High,2 Good,Low,4,No,0
1770,55,46 to 60,Male,Married,Research & Development,Research Director,5,3 Bachelor,Medical,Travel_Rarely,2,No,19038,Q4 highest,12,3,34,1,Under 1 year,0,0,0,8,2,1 Low,3 High,2 Medium,2 Medium,3 Better,Below average,3,No,0
1771,33,26 to 35,Male,Divorced,Research & Development,Research Scientist,2,3 Bachelor,Technical Degree,Non-Travel,4,No,3055,Q2,15,2,11,9,6 to 10,8,1,7,5,2,2 Medium,4 Very High,4 Very High,3 High,2 Good,Good,3,No,0
1772,41,36 to 45,Male,Divorced,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,9,No,2289,Q1 lowest,20,2,5,5,3 to 5,3,0,4,1,2,1 Low,3 High,2 Medium,3 High,3 Better,Below average,4,No,0
1774,34,26 to 35,Male,Divorced,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Non-Travel,10,Yes,4001,Q2,14,1,15,15,Over 10,14,0,7,1,3,3 High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
